Date,Open,High,Low,Close,Volume
2015-01-01 05:30:00+05:30,319.0,322.5,316.25,319.55,1456204
2015-01-02 05:30:00+05:30,319.35,325.8,318.05,319.35,2894058
2015-01-05 05:30:00+05:30,320.45,327.5,319.35,323.8,2099786
2015-01-06 05:30:00+05:30,321.65,331.45,315.6,321.85,3672197
2015-01-07 05:30:00+05:30,321.95,328.7,317.4,321.1,2981544
2015-01-08 05:30:00+05:30,326.0,337.3,323.55,334.55,2932673
2015-01-09 05:30:00+05:30,339.9,343.1,327.35,331.15,3543488
2015-01-12 05:30:00+05:30,332.15,335.75,325.55,328.45,2990475
2015-01-13 05:30:00+05:30,330.2,331.3,320.75,323.0,2688701
2015-01-14 05:30:00+05:30,324.0,333.9,322.65,331.25,2272652
2015-01-15 05:30:00+05:30,334.0,337.3,326.25,330.6,2140699
2015-01-16 05:30:00+05:30,329.8,334.6,326.0,330.85,1970666
2015-01-19 05:30:00+05:30,332.05,334.8,326.6,328.35,1362398
2015-01-20 05:30:00+05:30,329.0,332.65,326.85,330.5,1091657
2015-01-21 05:30:00+05:30,330.35,333.5,326.2,329.35,1514648
2015-01-22 05:30:00+05:30,329.05,331.65,327.0,329.4,1376133
2015-01-23 05:30:00+05:30,332.0,352.75,330.1,346.9,7519790
2015-01-27 05:30:00+05:30,348.0,349.45,340.9,345.15,2928237
2015-01-28 05:30:00+05:30,343.4,350.0,333.9,339.25,3391819
2015-01-29 05:30:00+05:30,340.65,348.4,337.65,344.15,4034959
2015-01-30 05:30:00+05:30,346.4,352.0,323.5,341.05,4373172
2015-02-02 05:30:00+05:30,339.5,343.9,333.0,335.9,1735161
2015-02-03 05:30:00+05:30,336.3,336.95,326.05,327.8,1537152
2015-02-04 05:30:00+05:30,329.45,333.0,319.25,321.25,2792395
2015-02-05 05:30:00+05:30,322.0,322.7,308.45,312.2,2167857
2015-02-06 05:30:00+05:30,311.1,313.95,298.6,300.2,3265593
2015-02-09 05:30:00+05:30,296.7,307.9,292.5,300.15,3103409
2015-02-10 05:30:00+05:30,298.1,319.7,298.1,317.85,3921257
2015-02-11 05:30:00+05:30,319.9,328.9,319.0,326.1,2148555
2015-02-12 05:30:00+05:30,327.7,338.0,326.8,336.6,3539194
2015-02-13 05:30:00+05:30,337.7,344.35,331.55,335.35,2180303
